FC ,OT ,JC ,E  ,A  ,D  ,I  ,FJ ,IE ,F  ,FA ,B  ,AC , C ,IC ,AH , E ,JF ,EF ,duration,target,age_lastyear,GENDER,HHSIZE,num_kids_lastyear,novehicle,work_income,nonwork_income,total_income
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,58.0,F,1.0,0.0,1,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,30.0,F,1.0,0.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,,,3.0,2.0,0,95166.76000000001,1800.0,96966.76000000001
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1,59.0,F,3.0,2.0,1,0.0,19521.480000000003,19521.480000000003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,30.0,F,4.0,3.0,1,0.0,23787.0,23787.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,,,4.0,2.0,1,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,4.0,3.0,1,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,44.0,M,1.0,0.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,29.0,F,4.0,2.0,1,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,,,5.0,3.0,1,0.0,77218.8,77218.8
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,46.0,F,2.0,0.0,1,0.0,12948.0,12948.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,34.0,F,4.0,3.0,0,65133.119999999995,0.0,65133.119999999995
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,,,5.0,2.0,0,50830.0,0.0,50830.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,4.0,3.0,0,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,,,2.0,1.0,0,74354.28,0.0,74354.28
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,40.0,F,5.0,2.0,0,33805.200000000004,0.0,33805.200000000004
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,33.0,F,4.0,3.0,0,25691.899999999998,47998.86,73690.76
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,57.0,F,1.0,0.0,0,46854.6,0.0,46854.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,28.0,F,2.0,1.0,0,39130.0,0.0,39130.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,,,6.0,3.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,21.0,F,2.0,1.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,40.0,F,5.0,3.0,0,87885.2,0.0,87885.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,33.0,F,3.0,2.0,0,45063.200000000004,12528.0,57591.200000000004
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1,40.0,F,4.0,2.0,0,57975.840000000004,0.0,57975.840000000004
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,67.0,F,1.0,0.0,0,0.0,5508.0,5508.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,38.0,F,6.0,3.0,0,47233.68,0.0,47233.68
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,,,4.0,1.0,0,0.0,28056.0,28056.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,55.0,F,2.0,1.0,0,0.0,2568.0,2568.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,50.0,F,2.0,0.0,0,0.0,41683.72,41683.72
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,37.0,F,3.0,2.0,0,61286.159999999996,5633.16,66919.31999999999
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1,37.0,F,3.0,2.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,38.0,M,2.0,1.0,0,0.0,5100.0,5100.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,28.0,F,2.0,1.0,0,0.0,20503.600000000002,20503.600000000002
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,40.0,F,1.0,0.0,0,51007.58,0.0,51007.58
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,,,2.0,2.0,0,19719.7,9859.98,29579.68
